result_type,split,group,method,source_type,task_count,solve_count,success_coarse_count,success_coarse_rate,success_standard_count,success_standard_rate,success_strict_count,success_strict_rate,stagnation_count,stagnation_rate,max_iterations_count,max_iterations_rate,joint_limit_failure_count,joint_limit_failure_rate,non_finite_count,non_finite_rate,other_failure_count,other_failure_rate,median_iterations,p95_iterations,median_position_error_m,p95_position_error_m,max_position_error_m,median_orientation_error_deg,p95_orientation_error_deg,max_orientation_error_deg,median_initial_sigma_min,p10_initial_sigma_min,median_final_sigma_min,median_initial_joint_limit_margin,p10_initial_joint_limit_margin,percentage_initial_margin_zero,median_final_joint_limit_margin,percentage_final_margin_zero,recovery_rate,maximum_failure_streak,first_failure_index_median,completion_coverage_rate,source_reference
trajectory,frozen_test,all_difficulty_combined,warm_start,not_available,210,168000,not_available,not_available,not_available,0.5493095238095238,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.12458719490306716,not_available,not_available,1.0,"KR810_Tier0_Tier4_Dataset_v2.0.0/final_dls_summary.json::frozen_test.warm_start (published aggregate; per-difficulty/per-family breakdown requires raw frozen_test files, not read this phase)"
trajectory,validation,all_difficulty,cold_start,core,120,48000,not_available,not_available,not_available,0.47120833333333334,not_available,not_available,not_available,0.5171875,not_available,0.019583333333333335,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.00916168636214985,1.2804929205538758,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
trajectory,validation,all_difficulty,cold_start,random_challenge,90,36000,not_available,not_available,not_available,0.37094444444444447,not_available,not_available,not_available,0.6211666666666666,not_available,0.018055555555555554,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.11270924730789836,1.1780204633032274,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
trajectory,validation,all_difficulty,warm_start,core,120,48000,not_available,not_available,not_available,0.789375,not_available,not_available,not_available,0.2215,not_available,0.000625,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.000657909083924,0.146825096385123,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
trajectory,validation,all_difficulty,warm_start,random_challenge,90,36000,not_available,not_available,not_available,0.55875,not_available,not_available,not_available,0.44355555555555554,not_available,0.0008888888888888889,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,0.0006527324379886001,0.605588900853464,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
trajectory,validation,easy,cold_start,not_available,70,28000,13115,0.46839285714285717,12851,0.4589642857142857,12531,0.44753571428571426,14808,0.5288571428571428,661,0.023607142857142858,0,0.0,0,0.0,0,0.0,18.0,153.0,0.02125393824116575,0.8541935252412763,1.0968034003390896,2.971164782820982,155.01526404358555,179.9127390138373,not_available,not_available,0.1144147730375251,not_available,not_available,not_available,0.0320021430059106,0.40689285714285717,0.02172910571008202,400.0,not_available,1.0,"mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/{trajectory_trial_summaries,waypoint_results}.csv"
trajectory,validation,easy,warm_start,not_available,70,28000,21380,0.7635714285714286,21118,0.7542142857142857,20863,0.7451071428571429,7121,0.2543214285714286,16,0.0005714285714285715,0,0.0,0,0.0,0,0.0,1.0,8.0,0.0003314965783091,0.19822070244521417,1.1383962993318395,0.002864692705318,69.59610450768294,179.68316874376143,not_available,not_available,0.12302889214050275,not_available,not_available,not_available,0.0442820827448885,0.2882857142857143,0.302404898531691,400.0,not_available,1.0,"mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/{trajectory_trial_summaries,waypoint_results}.csv"
trajectory,validation,hard,cold_start,not_available,70,28000,11695,0.41767857142857145,11449,0.40889285714285717,11214,0.4005,16269,0.5810357142857143,517,0.018464285714285714,0,0.0,0,0.0,0,0.0,29.0,117.0,0.17861567460729516,1.400095602198273,1.572855286281338,21.521209704076618,145.6325581245122,178.07006360886913,not_available,not_available,0.12552721004173661,not_available,not_available,not_available,0.0,0.5692857142857143,0.015470499365692256,400.0,not_available,1.0,"mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/{trajectory_trial_summaries,waypoint_results}.csv"
trajectory,validation,hard,warm_start,not_available,70,28000,18444,0.6587142857142857,18192,0.6497142857142857,18007,0.6431071428571429,9958,0.35564285714285715,35,0.00125,0,0.0,0,0.0,0,0.0,1.0,8.0,0.00070863233799645,0.5003129048419296,1.572855286281338,0.050184878754022805,80.76784678089722,178.17016292899189,not_available,not_available,0.14218924043145775,not_available,not_available,not_available,0.0252286285841597,0.38560714285714287,0.20620991673758834,400.0,not_available,1.0,"mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/{trajectory_trial_summaries,waypoint_results}.csv"
trajectory,validation,medium,cold_start,not_available,70,28000,11884,0.42442857142857143,11672,0.41685714285714287,11478,0.4099285714285714,16110,0.5753571428571429,412,0.014714285714285714,0,0.0,0,0.0,0,0.0,26.0,114.04999999999927,0.027338982700425903,0.9222670048748473,1.5551827366383115,12.423257107964135,139.04137744002202,179.99346496555626,not_available,not_available,0.11231328746310071,not_available,not_available,not_available,0.0,0.5374285714285715,0.03983136940100108,400.0,not_available,1.0,"mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/{trajectory_trial_summaries,waypoint_results}.csv"
trajectory,validation,medium,warm_start,not_available,70,28000,19058,0.6806428571428571,18695,0.6676785714285715,18468,0.6595714285714286,9521,0.3400357142857143,11,0.0003928571428571429,0,0.0,0,0.0,0,0.0,1.0,8.0,0.00066093963490545,0.6185280747632199,1.5551827366383115,0.050147872378483546,79.59302987683236,177.6818338432577,not_available,not_available,0.1227793833708102,not_available,not_available,not_available,0.015844779777771052,0.37685714285714284,0.26165264982463715,400.0,not_available,1.0,"mpdik_kassow_v2_eval_devval/validation/cand_D_pure_dls/tier2_sequential_dls/{trajectory_trial_summaries,waypoint_results}.csv"
